"STN","STARTT","STOPT","LOCATIE","STN_HOOGTE","STN_POS_X","STN_POS_Y","STN_POS_NB","STN_POS_OL"
892,19931101,99991231,"Giersbergen",6.6,138.5,407.5,51.6,5.1
896,18681102,99991231,"Helmond",17.82,169.5,385.7,51.4,5.5
897,18821015,99991231,"Venlo",45.47,210.5,372.2,51.3,6.1
899,19041121,99991231,"Gemert",15,175.3,395.6,51.5,5.6
901,19040425,99991231,"Nuland",4.8,158.1,415.1,51.7,5.4
903,19120411,99991231,"Megen",5.9,167.0,426.0,51.8,5.5
904,19140502,99991231,"Someren",24.8,176.1,378.7,51.3,5.6
905,19190711,99991231,"St Anthonis",15.32,191.7,404.4,51.6,5.9
906,19190721,99991231,"Oirschot",13.7,150.4,391.8,51.5,5.3
907,19200602,99991231,"Boxtel",7.9,151.2,399.0,51.5,5.3
908,19290513,99991231,"Deurne",23.85,181.6,383.7,51.4,5.7
909,19290818,99991231,"Mill",15.63,183.1,409.7,51.6,5.7
910,19321014,99991231,"Ammerzoden",3.2,143.0,417.4,51.7,5.2
911,19340622,99991231,"Dinther",7.5,162.5,405.1,51.6,5.4
912,19340916,99991231,"Leende",25.5,165.2,371.1,51.3,5.5
913,19470322,99991231,"IJsselsteyn,(L)",30.5,189.8,389.0,51.4,5.8
914,19481205,99991231,"Oss",4.1,165.2,419.3,51.7,5.5
915,19480602,99991231,"Eersel",29.2,146.2,374.8,51.3,5.2
917,19500528,99991231,"Zaltbommel",2.9,144.8,424.5,51.8,5.2
918,19510101,99991231,"Maarheeze",28,170.2,368.6,51.3,5.6
919,19710101,99991231,"Eindhoven vliegbasis",20.5,151.8,385.4,51.4,5.3
920,19710101,99991231,"Volkel",21.5,176.4,405.8,51.6,5.6
921,19720101,99991231,"Venray",22.72,197.0,391.8,51.5,5.9
922,19950601,99991231,"Siebengewald",15.73,203.6,407.4,51.6,6.0
923,19951101,99991231,"Arcen",19.01,210.8,388.5,51.4,6.1
926,20110101,99991231,"Waalre",21.39,158.4,375.3,51.3,5.4
961,18680802,99991231,"Roermond",20.14,195.2,354.9,51.1,5.9
962,18860404,99991231,"Ubachsberg",171.9,192.0,318.0,50.8,5.9
963,19040302,99991231,"Valkenburg,(L)",79,186.8,318.4,50.8,5.8
964,19061007,99991231,"Weert",31.81,177.3,365.2,51.2,5.7
965,19081102,99991231,"Schaesberg",147.84,199.0,322.5,50.8,6.0
966,19121002,99991231,"Schinnen",82.17,188.8,327.2,50.9,5.8
967,19170602,99991231,"Heibloem",30.43,190.4,367.8,51.2,5.8
968,19191230,99991231,"Vaals",199.03,196.6,309.6,50.7,5.9
969,19251202,99991231,"Stein,(L)",38.5,179.4,329.8,50.9,5.7
970,19420102,99991231,"Stramproy",31.77,178.0,355.3,51.1,5.7
971,19440416,99991231,"Noorbeek",132.16,184.7,308.9,50.7,5.8
973,19460104,99991231,"Beek",113.9,184.6,326.2,50.9,5.8
974,19480902,99991231,"Buchten",33.58,184.4,339.2,51.0,5.8
979,19710101,99991231,"Echt",33.11,191.5,343.5,51.0,5.9
980,19800801,99991231,"Epen,(nieuw),(L)",153.94,191.5,308.1,50.7,5.9
981,19860101,99991231,"Oost Maarland",49.93,177.7,311.8,50.7,5.7
982,19950501,99991231,"Schinveld",54.47,196.4,332.1,50.9,5.9
983,20130401,99991231,"Kessel-Eik",26.4,199.7,366.7,51.2,6.0
