Date,Waterstand gemeten,Theoretische curve (Q50),Theoretische curve (Q90)
2018-03-26 00:30:00,35.484,NaN,NaN
2018-03-26 00:45:00,35.484,NaN,NaN
2018-03-26 01:00:00,35.483,NaN,NaN
2018-03-26 01:15:00,35.483,NaN,NaN
2018-03-26 01:30:00,35.482,NaN,NaN
2018-03-26 01:45:00,35.483,NaN,NaN
2018-03-26 02:00:00,35.483,NaN,NaN
2018-03-26 02:15:00,35.482,NaN,NaN
2018-03-26 02:30:00,35.480,NaN,NaN
2018-03-26 02:45:00,35.482,NaN,NaN
2018-03-26 03:00:00,35.483,NaN,NaN
2018-03-26 03:15:00,35.482,NaN,NaN
2018-03-26 03:30:00,35.481,NaN,NaN
2018-03-26 03:45:00,35.481,NaN,NaN
2018-03-26 04:00:00,35.481,NaN,NaN
2018-03-26 04:15:00,35.480,NaN,NaN
2018-03-26 04:30:00,35.480,NaN,NaN
2018-03-26 04:45:00,35.480,NaN,NaN
2018-03-26 05:00:00,35.480,NaN,NaN
2018-03-26 05:15:00,35.480,NaN,NaN
2018-03-26 05:30:00,35.480,NaN,NaN
2018-03-26 05:45:00,35.481,NaN,NaN
2018-03-26 06:00:00,35.482,NaN,NaN
2018-03-26 06:15:00,35.482,NaN,NaN
2018-03-26 06:30:00,35.482,NaN,NaN
2018-03-26 06:45:00,35.482,NaN,NaN
2018-03-26 07:00:00,35.483,NaN,NaN
2018-03-26 07:15:00,35.483,NaN,NaN
2018-03-26 07:30:00,35.483,NaN,NaN
2018-03-26 07:45:00,35.482,NaN,NaN
2018-03-26 08:00:00,35.482,NaN,NaN
2018-03-26 08:15:00,35.482,NaN,NaN
2018-03-26 08:30:00,35.483,NaN,NaN
2018-03-26 08:45:00,35.482,NaN,NaN
2018-03-26 09:00:00,35.481,NaN,NaN
2018-03-26 09:15:00,35.479,NaN,NaN
2018-03-26 09:30:00,35.476,NaN,NaN
2018-03-26 09:45:00,35.480,NaN,NaN
2018-03-26 10:00:00,35.484,NaN,NaN
2018-03-26 10:15:00,35.478,NaN,NaN
2018-03-26 10:30:00,35.472,NaN,NaN
2018-03-26 10:45:00,35.477,NaN,NaN
2018-03-26 11:00:00,35.482,NaN,NaN
2018-03-26 11:15:00,35.482,NaN,NaN
2018-03-26 11:30:00,35.482,NaN,NaN
2018-03-26 11:45:00,35.481,NaN,NaN
2018-03-26 12:00:00,35.479,NaN,NaN
2018-03-26 12:15:00,35.482,NaN,NaN
2018-03-26 12:30:00,35.485,NaN,NaN
2018-03-26 12:45:00,35.483,NaN,NaN
2018-03-26 13:00:00,35.481,NaN,NaN
2018-03-26 13:15:00,35.483,NaN,NaN
2018-03-26 13:30:00,35.485,NaN,NaN
2018-03-26 13:45:00,35.484,NaN,NaN
2018-03-26 14:00:00,35.482,NaN,NaN
2018-03-26 14:15:00,35.481,NaN,NaN
2018-03-26 14:30:00,35.480,NaN,NaN
2018-03-26 14:45:00,35.478,NaN,NaN
2018-03-26 15:00:00,35.476,NaN,NaN
2018-03-26 15:15:00,35.478,NaN,NaN
2018-03-26 15:30:00,35.479,NaN,NaN
2018-03-26 15:45:00,35.475,NaN,NaN
2018-03-26 16:00:00,35.471,NaN,NaN
2018-03-26 16:15:00,35.479,NaN,NaN
2018-03-26 16:30:00,35.487,NaN,NaN
2018-03-26 16:45:00,35.483,NaN,NaN
2018-03-26 17:00:00,35.478,NaN,NaN
2018-03-26 17:15:00,35.481,NaN,NaN
2018-03-26 17:30:00,35.483,NaN,NaN
2018-03-26 17:45:00,35.484,NaN,NaN
2018-03-26 18:00:00,35.485,NaN,NaN
2018-03-26 18:15:00,35.484,NaN,NaN
2018-03-26 18:30:00,35.482,NaN,NaN
2018-03-26 18:45:00,35.482,NaN,NaN
2018-03-26 19:00:00,35.482,NaN,NaN
2018-03-26 19:15:00,35.485,NaN,NaN
2018-03-26 19:30:00,35.488,NaN,NaN
2018-03-26 19:45:00,35.485,NaN,NaN
2018-03-26 20:00:00,35.482,NaN,NaN
2018-03-26 20:15:00,35.485,NaN,NaN
2018-03-26 20:30:00,35.488,NaN,NaN
2018-03-26 20:45:00,35.486,NaN,NaN
2018-03-26 21:00:00,35.484,NaN,NaN
2018-03-26 21:15:00,35.482,NaN,NaN
2018-03-26 21:30:00,35.480,NaN,NaN
2018-03-26 21:45:00,35.482,NaN,NaN
2018-03-26 22:00:00,35.484,NaN,NaN
2018-03-26 22:15:00,35.479,NaN,NaN
2018-03-26 22:30:00,35.475,NaN,NaN
2018-03-26 22:45:00,35.480,NaN,NaN
2018-03-26 23:00:00,35.486,NaN,NaN
2018-03-26 23:15:00,35.483,NaN,NaN
2018-03-26 23:30:00,35.480,NaN,NaN
2018-03-26 23:45:00,35.481,NaN,NaN
2018-03-27 00:00:00,35.482,NaN,NaN
2018-03-27 00:15:00,35.484,NaN,NaN
2018-03-27 00:30:00,35.485,NaN,NaN
2018-03-27 00:45:00,35.476,NaN,NaN
2018-03-27 01:00:00,35.467,NaN,NaN
2018-03-27 01:15:00,35.478,NaN,NaN
2018-03-27 01:30:00,35.488,NaN,NaN
2018-03-27 01:45:00,35.483,NaN,NaN
2018-03-27 02:00:00,35.478,NaN,NaN
2018-03-27 02:15:00,35.483,NaN,NaN
2018-03-27 02:30:00,35.487,NaN,NaN
2018-03-27 02:45:00,35.483,NaN,NaN
2018-03-27 03:00:00,35.480,NaN,NaN
2018-03-27 03:15:00,35.481,NaN,NaN
2018-03-27 03:30:00,35.483,NaN,NaN
2018-03-27 03:45:00,35.484,NaN,NaN
2018-03-27 04:00:00,35.485,NaN,NaN
2018-03-27 04:15:00,35.484,NaN,NaN
2018-03-27 04:30:00,35.482,NaN,NaN
2018-03-27 04:45:00,35.482,NaN,NaN
